fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc
1,2227,1826,557,24,0.6606822262118492,0.6986301369863014,0.2339449541284403,0.3505154639175257,0.6060355912997266,0.6919839787827122
2,2227,1826,557,3,0.6104129263913824,0.0,0.0,0.0,0.4627433555698328,0.5893060449986446
3,2227,1802,557,15,0.5960502692998204,0.4459459459459459,0.152073732718894,0.2268041237113402,0.5318920690335354,0.5947817836812144
4,2227,1828,557,8,0.6175942549371634,0.5666666666666667,0.0783410138248847,0.1376518218623481,0.5140772595680857,0.5431282190295472
5,2228,1818,556,17,0.6079136690647482,0.4827586206896552,0.064516129032258,0.1138211382113821,0.5006510873090522,0.5660046490763019
