fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc
1,2227,1826,557,24,0.6409335727109515,0.5494505494505495,0.45871559633027525,0.5,0.6338276782885506,0.6583718979188655
2,2227,1826,557,3,0.5709156193895871,0.445,0.41013824884792627,0.42685851318944845,0.5674020314334861,0.5553130929791271
3,2227,1802,557,15,0.5745062836624776,0.44680851063829785,0.3870967741935484,0.4148148148148148,0.5679744746404998,0.5350908105177554
4,2227,1828,557,8,0.5368043087971275,0.3879781420765027,0.3271889400921659,0.355,0.528146960759169,0.49976958525345627
5,2228,1818,556,17,0.5773381294964028,0.4444444444444444,0.3317972350230415,0.37994722955145116,0.5625270797051719,0.5234153038891834
