fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc
1,2227,1826,557,24,0.6660682226211849,0.5720720720720721,0.5825688073394495,0.5772727272727273,0.666595198854707,0.6783172309274444
2,2227,1826,557,3,0.5906642728904847,0.4744186046511628,0.4700460829493088,0.4722222222222222,0.5903169354984956,0.5924030902683655
3,2227,1802,557,15,0.5691202872531418,0.4497816593886463,0.47465437788018433,0.4618834080717489,0.5710466982564004,0.5959067497966928
4,2227,1828,557,8,0.5385996409335727,0.4230769230769231,0.5069124423963134,0.4612159329140461,0.5438233449286114,0.5431959880726484
5,2228,1818,556,17,0.5773381294964028,0.45754716981132076,0.4470046082949309,0.4522144522144522,0.5764221435719377,0.5671193398855403
