development_rank,model_name,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_f1_weighted,test_roc_auc
1,extra_trees,0.5782971468426695,0.0381428222557323,0.4652564618888489,0.041824843308732,0.5358263222424217,0.0483156904197392,0.4978205351848417,0.0437180840763346,0.5822605651427376,0.0376162292670057,0.5990537329520352,0.0481108632165955,0.6504065040650406,0.5471698113207547,0.6041666666666666,0.5742574257425742,0.6530323343520222,0.6661111111111111
2,hist_gradient_boosting,0.5711190473115224,0.0438359487147115,0.4584215686637581,0.0457104590421667,0.523865894389718,0.0422886301104973,0.4884852560674566,0.0425642283743238,0.5748718991479176,0.0429224786259355,0.5764124951391929,0.0557515454886279,0.6463414634146342,0.5416666666666666,0.609375,0.5735294117647058,0.6493752989000479,0.6816493055555556
3,random_forest,0.5883581106389574,0.0424537843520421,0.475379285800025,0.0511061205928831,0.4962372637720373,0.0472075166367163,0.4849617485390393,0.0465885636192809,0.5896408642220304,0.041333157026567,0.5953884797901383,0.0456279725217232,0.6321138211382114,0.5284974093264249,0.53125,0.5298701298701298,0.632284511774719,0.67015625
4,xgboost,0.5800995828113094,0.0337594753602099,0.4547363293219589,0.0523278288694364,0.3829873588973914,0.0494423227353007,0.4153241115111428,0.0493838639706888,0.5719756449653756,0.034271942680982,0.5543921381116775,0.055006122192922,0.6422764227642277,0.5487804878048781,0.46875,0.5056179775280899,0.636183371065801,0.6742013888888889
5,logistic_regression,0.6045244953050126,0.0069237909691999,0.4264599343595607,0.0846591592063539,0.0809876125650023,0.0506720381675708,0.1317710895150187,0.076494374380561,0.5047770344894922,0.0273319423814396,0.5352397160756783,0.016869109274789,0.6138211382113821,0.5357142857142857,0.078125,0.1363636363636363,0.5113302608513949,0.5505729166666666
