fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc
1,2227,1826,557,24,0.6409335727109515,0.5365853658536586,0.6055045871559633,0.5689655172413793,0.6440337351004101,0.6713079483640496
2,2227,1826,557,3,0.5763016157989228,0.4609053497942387,0.5161290322580645,0.48695652173913045,0.5798535614343274,0.5793168880455408
3,2227,1802,557,15,0.5691202872531418,0.45228215767634855,0.5023041474654378,0.4759825327510917,0.5725277660763877,0.565790187042559
4,2227,1828,557,8,0.5026929982046678,0.39361702127659576,0.511520737327189,0.44488977955911824,0.5088022814761486,0.49666576307942534
5,2228,1818,556,17,0.5665467625899281,0.44871794871794873,0.4838709677419355,0.4656319290465632,0.5691421516523142,0.5689816891643897
