feature,mean_abs_shap
ph,0.032925217271919695
chloramines_ph_interaction,0.024742612910767906
hardness_solids_ratio,0.015161795126731487
solids_sulfate_diff,0.014827492731645119
ph_safe_range,0.013684515072860073
Chloramines,0.013007086140594828
Hardness,0.010424689323703433
hardness_conductivity_ratio,0.007320866472217185
Solids,0.006538108038024475
conductivity_solids_ratio,0.005882866918398862
Conductivity,0.005347837902793161
Turbidity,0.005286897087920782
turbidity_solids_ratio,0.005023688338144123
trihalo_formation_risk,0.004361263338771944
Organic_carbon,0.004352228903126272
turbidity_organic_interaction,0.004304193414704656
dbp_precursor_load,0.004002670372261738
organic_trihalo_interaction,0.0032001080431816316
expanded_risk_score,0.002748075741097294
