fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc
1,2227,1826,557,24,0.6175942549371634,0.5490196078431373,0.12844036697247707,0.20817843866171004,0.5366801231998845,0.5552082487618739
2,2227,1826,557,3,0.5978456014362658,0.29411764705882354,0.02304147465437788,0.042735042735042736,0.47168411082235145,0.5086066684738412
3,2227,1802,557,15,0.6014362657091562,0.4626865671641791,0.14285714285714285,0.21830985915492956,0.5321965536812838,0.5496204933586337
4,2227,1828,557,8,0.6050269299820467,0.38461538461538464,0.02304147465437788,0.043478260869565216,0.47543877557147407,0.5251287611818921
5,2228,1818,556,17,0.6007194244604317,0.4418604651162791,0.08755760368663594,0.14615384615384616,0.5078856091724671,0.5376344086021505
