fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc
1,2227,1826,557,24,0.6175942549371634,0.5490196078431373,0.128440366972477,0.20817843866171,0.5366801231998845,0.5552082487618739
2,2227,1826,557,3,0.5978456014362658,0.2941176470588235,0.0230414746543778,0.0427350427350427,0.4716841108223514,0.5086066684738412
3,2227,1802,557,15,0.6014362657091562,0.4626865671641791,0.1428571428571428,0.2183098591549295,0.5321965536812838,0.5496204933586337
4,2227,1828,557,8,0.6050269299820467,0.3846153846153846,0.0230414746543778,0.0434782608695652,0.475438775571474,0.5251287611818921
5,2228,1818,556,17,0.6007194244604317,0.4418604651162791,0.0875576036866359,0.1461538461538461,0.5078856091724671,0.5376344086021505
