trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_colsample_bytree,param_eval_metric,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_reg_alpha,param_reg_lambda,param_subsample,param_tree_method,param_verbosity
0,1,2227,1826,557,24,0.6678635547576302,0.6012269938650306,0.4495412844036697,0.5144356955380578,0.6563512324423826,0.6720792400746936,0.7971955934444767,logloss,1.219900096437906,0.0570342047169544,5,3,400,-1,binary:logistic,73,0.0003773602994151,3.509597624572087,0.8441028908451985,hist,0
0,2,2227,1826,557,3,0.5978456014362658,0.4690265486725664,0.2442396313364055,0.3212121212121212,0.5611493234473486,0.5813567362428842,0.7971955934444767,logloss,1.219900096437906,0.0570342047169544,5,3,400,-1,binary:logistic,73,0.0003773602994151,3.509597624572087,0.8441028908451985,hist,0
0,3,2227,1802,557,15,0.5906642728904847,0.464968152866242,0.336405529953917,0.3903743315508021,0.574424547916997,0.5740580103008945,0.7971955934444767,logloss,1.219900096437906,0.0570342047169544,5,3,400,-1,binary:logistic,73,0.0003773602994151,3.509597624572087,0.8441028908451985,hist,0
0,4,2227,1828,557,8,0.5565529622980251,0.3986486486486486,0.271889400921659,0.3232876712328767,0.5350639034415562,0.5027514231499051,0.7971955934444767,logloss,1.219900096437906,0.0570342047169544,5,3,400,-1,binary:logistic,73,0.0003773602994151,3.509597624572087,0.8441028908451985,hist,0
0,5,2228,1818,556,17,0.5701438848920863,0.4166666666666667,0.2534562211981567,0.3151862464183381,0.541741002493307,0.5326454875412912,0.7971955934444767,logloss,1.219900096437906,0.0570342047169544,5,3,400,-1,binary:logistic,73,0.0003773602994151,3.509597624572087,0.8441028908451985,hist,0
1,1,2227,1826,557,24,0.6606822262118492,0.5947712418300654,0.4174311926605504,0.490566037735849,0.6457999217018356,0.6752185326513491,0.9622879365735616,logloss,2.943318378397697,0.0761282831175293,4,2,200,-1,binary:logistic,73,1.2467303481508757e-06,5.658214935507401,0.6965739067514468,hist,0
1,2,2227,1826,557,3,0.644524236983842,0.6417910447761194,0.1981566820276497,0.3028169014084507,0.5827698992292533,0.5892789373814041,0.9622879365735616,logloss,2.943318378397697,0.0761282831175293,4,2,200,-1,binary:logistic,73,1.2467303481508757e-06,5.658214935507401,0.6965739067514468,hist,0
1,3,2227,1802,557,15,0.6104129263913824,0.5,0.2811059907834101,0.359882005899705,0.5797026845246607,0.5855380862022228,0.9622879365735616,logloss,2.943318378397697,0.0761282831175293,4,2,200,-1,binary:logistic,73,1.2467303481508757e-06,5.658214935507401,0.6965739067514468,hist,0
1,4,2227,1828,557,8,0.59245960502693,0.4509803921568627,0.2119815668202765,0.2884012539184953,0.5484763215332571,0.5219300623475197,0.9622879365735616,logloss,2.943318378397697,0.0761282831175293,4,2,200,-1,binary:logistic,73,1.2467303481508757e-06,5.658214935507401,0.6965739067514468,hist,0
1,5,2228,1818,556,17,0.579136690647482,0.4141414141414141,0.1889400921658986,0.2594936708860759,0.5317524238989318,0.545872245558229,0.9622879365735616,logloss,2.943318378397697,0.0761282831175293,4,2,200,-1,binary:logistic,73,1.2467303481508757e-06,5.658214935507401,0.6965739067514468,hist,0
