fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc
1,2227,1826,557,24,0.6588868940754039,0.5777777777777777,0.4770642201834862,0.5226130653266332,0.6516544841697429,0.65929203539823
2,2227,1826,557,3,0.5655296229802513,0.4324324324324324,0.3686635944700461,0.3980099502487562,0.5580006489249033,0.5531377066955815
3,2227,1802,557,15,0.5798922800718133,0.4472049689440994,0.3317972350230415,0.3809523809523809,0.5647555486170739,0.5580916237462727
4,2227,1828,557,8,0.5314183123877917,0.3791208791208791,0.3179723502304147,0.3458646616541353,0.5223352665476827,0.4843995662781241
5,2228,1818,556,17,0.5539568345323741,0.4012738853503185,0.2903225806451613,0.3368983957219251,0.5363098069868092,0.542745673776219
