fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc
1,2227,1826,557,24,0.6481149012567325,0.5436507936507936,0.6284403669724771,0.5829787234042553,0.6515537677893166,0.6883169602987741
2,2227,1826,557,3,0.5691202872531418,0.4530612244897959,0.511520737327189,0.4805194805194805,0.5729252298736058,0.5962184873949581
3,2227,1802,557,15,0.5816876122082585,0.4669421487603306,0.5207373271889401,0.4923747276688453,0.5850965009311369,0.5934128490105719
4,2227,1828,557,8,0.5350089766606823,0.4227941176470588,0.5299539170506913,0.4703476482617587,0.5406991735597876,0.5463675792897804
5,2228,1818,556,17,0.5575539568345323,0.4398340248962655,0.488479262672811,0.462882096069869,0.5610281535598411,0.5709527887660917
