trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_class_weight,param_early_stopping,param_l2_regularization,param_learning_rate,param_max_bins,param_max_depth,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,param_random_state
0,1,2227,1826,557,24,0.6588868940754039,0.5777777777777777,0.4770642201834862,0.5226130653266332,0.6516544841697429,0.65929203539823,,False,0.4040831743925639,0.0624609269919239,127,10.0,400,31,22,73
0,2,2227,1826,557,3,0.5655296229802513,0.4324324324324324,0.3686635944700461,0.3980099502487562,0.5580006489249033,0.5531377066955815,,False,0.4040831743925639,0.0624609269919239,127,10.0,400,31,22,73
0,3,2227,1802,557,15,0.5798922800718133,0.4472049689440994,0.3317972350230415,0.3809523809523809,0.5647555486170739,0.5580916237462727,,False,0.4040831743925639,0.0624609269919239,127,10.0,400,31,22,73
0,4,2227,1828,557,8,0.5314183123877917,0.3791208791208791,0.3179723502304147,0.3458646616541353,0.5223352665476827,0.4843995662781241,,False,0.4040831743925639,0.0624609269919239,127,10.0,400,31,22,73
0,5,2228,1818,556,17,0.5539568345323741,0.4012738853503185,0.2903225806451613,0.3368983957219251,0.5363098069868092,0.542745673776219,,False,0.4040831743925639,0.0624609269919239,127,10.0,400,31,22,73
1,1,2227,1826,557,24,0.6552962298025135,0.5866666666666667,0.4036697247706422,0.4782608695652174,0.6391589583599718,0.6526345701063571,,False,0.3374970082679478,0.024376074518934,255,,300,31,11,73
1,2,2227,1826,557,3,0.5673249551166966,0.4230769230769231,0.304147465437788,0.353887399463807,0.5497545220602509,0.5435822716183247,,False,0.3374970082679478,0.024376074518934,255,,300,31,11,73
1,3,2227,1802,557,15,0.5942549371633752,0.4701986754966887,0.3271889400921659,0.3858695652173913,0.5758186978223097,0.5750474383301708,,False,0.3374970082679478,0.024376074518934,255,,300,31,11,73
1,4,2227,1828,557,8,0.5368043087971275,0.3726708074534161,0.2764976958525346,0.3174603174603174,0.520115092064979,0.5099349417186229,,False,0.3374970082679478,0.024376074518934,255,,300,31,11,73
1,5,2228,1818,556,17,0.5773381294964028,0.4357142857142857,0.2811059907834101,0.3417366946778711,0.5533099036937181,0.5551568043717631,,False,0.3374970082679478,0.024376074518934,255,,300,31,11,73
2,1,2227,1826,557,24,0.6265709156193896,0.5287356321839081,0.4220183486238532,0.4693877551020408,0.6169918864465871,0.6358961868420341,,False,0.0814121777973998,0.0928638804668077,255,,500,31,29,73
2,2,2227,1826,557,3,0.5583482944344704,0.430622009569378,0.4147465437788018,0.4225352112676056,0.5567690725371812,0.5488953645974518,,False,0.0814121777973998,0.0928638804668077,255,,500,31,29,73
2,3,2227,1802,557,15,0.5870736086175943,0.4636871508379888,0.3824884792626728,0.4191919191919191,0.5781885052775168,0.543534833288154,,False,0.0814121777973998,0.0928638804668077,255,,500,31,29,73
2,4,2227,1828,557,8,0.5242369838420108,0.3651685393258427,0.2995391705069124,0.3291139240506329,0.5136531182900445,0.488845215505557,,False,0.0814121777973998,0.0928638804668077,255,,500,31,29,73
2,5,2228,1818,556,17,0.5629496402877698,0.4226190476190476,0.3271889400921659,0.3688311688311688,0.5498660019089893,0.5457363076546633,,False,0.0814121777973998,0.0928638804668077,255,,500,31,29,73
3,1,2227,1826,557,24,0.6193895870736086,0.5119047619047619,0.591743119266055,0.548936170212766,0.6231091774047711,0.6589943438607886,balanced,False,0.5859235662343548,0.0295792708930745,127,10.0,100,15,12,73
